gebiet_id;gebiet_name;gebiet_typ;gemeinde_name;CSU_stimmen;CSU_anteil;FREIE WÄHLER/FWO_stimmen;FREIE WÄHLER/FWO_anteil;AfD_stimmen;AfD_anteil;GRÜNE_stimmen;GRÜNE_anteil;SPD_stimmen;SPD_anteil;ÖDP_stimmen;ÖDP_anteil;BP_stimmen;BP_anteil
09777172;09777172 - Gemeinde Stöttwang;gemeinde;Gemeinde Stöttwang;21921;41,9;8888;17,0;7075;13,5;7997;15,3;2566;4,9;848;1,6;308;0,6
097771520013;Briefwahlbezirk 3;briefwahlbezirk;Gemeinde Mauerstetten;12277;52,5;3101;13,2;2255;9,6;2419;10,3;2124;9,1;213;0,9;116;0,5
09777164;09777164 - Gemeinde Rieden;gemeinde;Gemeinde Rieden;16515;38,1;9407;21,7;9058;20,9;3528;8,1;1699;3,9;590;1,4;315;0,7
097771710012;Briefwahl Mehrzweckhalle;briefwahlbezirk;Gemeinde Stötten a.Auerberg;5549;40,7;3327;24,4;1174;8,6;1584;11,6;751;5,5;269;2,0;254;1,9
097771700012;Seeg 12;briefwahlbezirk;Gemeinde Seeg;7837;34,0;5647;24,5;2242;9,7;2385;10,4;1128;4,9;1458;6,3;196;0,9
097775756;Verwaltungsgemeinschaft Seeg;verbandsgemeinde;Verwaltungsgemeinschaft Seeg;;;;;;;;;;;;;;
097771210007;0007 Dietrich-Bonhoeffer-Haus;stimmbezirk;Stadt Buchloe;2229;30,2;783;10,6;2055;27,8;889;12,0;601;8,1;77;1,0;63;0,9
09777144;09777144 - Gemeinde Kraftisried;gemeinde;Gemeinde Kraftisried;7578;30,9;8814;35,9;3552;14,5;2436;9,9;713;2,9;136;0,6;161;0,7
097771540002;Obg - Stimmbezirk II;stimmbezirk;Markt Obergünzburg;1935;21,3;2552;28,1;2411;26,6;1467;16,2;349;3,8;14;0,2;16;0,2
;Landkreis Ostallgäu;kreis;Landkreis Ostallgäu;1457640;37,3;834289;21,3;521561;13,3;502825;12,9;243364;6,2;70574;1,8;31925;0,8
097771770003;0003 Alte Schule Bronnen;stimmbezirk;Markt Waal;1622;33,5;981;20,3;985;20,4;246;5,1;379;7,8;123;2,5;48;1,0
097771120201;Musikproberaum;stimmbezirk;Gemeinde Biessenhofen;4592;31,4;3772;25,8;2725;18,6;1795;12,3;559;3,8;280;1,9;129;0,9
097771570011;Stimmbezirk 11 (Briefwahl);briefwahlbezirk;Gemeinde Osterzell;4612;39,7;1802;15,5;2179;18,8;1199;10,3;880;7,6;106;0,9;66;0,6
09777152;Gemeinde Mauerstetten;gemeinde;Gemeinde Mauerstetten;47578;45,3;17618;16,8;13024;12,4;14519;13,8;5571;5,3;1485;1,4;465;0,4
097771470001;Allgemeiner Stimmbezirk;stimmbezirk;Gemeinde Lechbruck am See;7482;30,1;5483;22,1;5646;22,7;2442;9,8;1406;5,7;635;2,6;253;1,0
097771510041;Mittelschule, Klassenzimmer 103, OG;briefwahlbezirk;Stadt Marktoberdorf;6530;33,2;5795;29,5;1456;7,4;2262;11,5;2013;10,2;294;1,5;504;2,6
09777129;Stadt Füssen;gemeinde;Stadt Füssen;140424;43,7;37019;11,5;33306;10,4;46620;14,5;35234;11,0;6189;1,9;946;0,3
097771300001;Obergermaringen Nord;stimmbezirk;Gemeinde Germaringen;5465;41,2;1746;13,1;2861;21,5;1493;11,2;524;3,9;233;1,8;65;0,5
